wislawa-szymborska	비스와바 심보르스카	1923-2012	central-europe
gustave-flaubert	귀스타브 플로베르	1821-1880	western-europe
leo-tolstoy	레프 톨스토이	1828-1910	russia
fyodor-dostoevsky	표도르 도스토옙스키	1821-1881	russia
anton-chekhov	안톤 체호프	1860-1904	russia
henrik-ibsen	헨리크 입센	1828-1906	nordic
henry-james	헨리 제임스	1843-1916	north-america
joseph-conrad	조지프 콘래드	1857-1924	central-europe
machado-de-assis	마샤두 지 아시스	1839-1908	latin-america
charles-baudelaire	샤를 보들레르	1821-1867	western-europe
walt-whitman	월트 휘트먼	1819-1892	north-america
emily-dickinson	에밀리 디킨슨	1830-1886	north-america
friedrich-nietzsche	프리드리히 니체	1844-1900	central-europe
edouard-glissant	에두아르 글리상	1928-2011	caribbean
maryse-conde	마리즈 콩데	1934-2024	caribbean
frantz-fanon	프란츠 파농	1925-1961	caribbean
vs-naipaul	V. S. 나이폴	1932-2018	caribbean
clr-james	C. L. R. 제임스	1901-1989	caribbean
kamau-brathwaite	카마우 브래스웨이트	1930-2020	caribbean
abdulla-qodiriy	압둘라 코디리	1894-1938	central-asia
abai-qunanbaiuly	아바이 쿠난바이울리	1845-1904	central-asia
mukhtar-auezov	묵타르 아우에조프	1897-1961	central-asia
chinghiz-aitmatov	칭기즈 아이트마토프	1928-2008	central-asia
sadriddin-ayni	사드리딘 아이니	1878-1954	central-asia
sandor-petofi	산도르 페퇴피	1823-1849	eastern-europe
imre-kertesz	임레 케르테스	1929-2016	eastern-europe
taras-shevchenko	타라스 셰우첸코	1814-1861	eastern-europe
henry-lawson	헨리 로슨	1867-1922	oceania
patrick-white	패트릭 화이트	1912-1990	oceania
janet-frame	재닛 프레임	1924-2004	oceania
nam-cao	남 까오	1915-1951	southeast-asia
chairil-anwar	차이릴 안와르	1922-1949	southeast-asia
pramoedya-ananta-toer	프라무디아 아난타 투르	1925-2006	southeast-asia
daniel-defoe	대니얼 디포	1660-1731	britain-ireland
jonathan-swift	조너선 스위프트	1667-1745	britain-ireland
voltaire	볼테르	1694-1778	western-europe
jean-jacques-rousseau	장자크 루소	1712-1778	western-europe
johann-wolfgang-von-goethe	요한 볼프강 폰 괴테	1749-1832	central-europe
jane-austen	제인 오스틴	1775-1817	britain-ireland
charles-dickens	찰스 디킨스	1812-1870	britain-ireland
victor-hugo	빅토르 위고	1802-1885	western-europe
alexander-pushkin	알렉산드르 푸시킨	1799-1837	russia
homer	호메로스	-	western-europe
sophocles	소포클레스	-497--406	western-europe
plato	플라톤	-428--348	western-europe
aristotle	아리스토텔레스	-384--322	western-europe
cicero	키케로	-106--43	italy
virgil	베르길리우스	-70--19	italy
ovid	오비디우스	-43-17	italy
li-bai	이백	701-762	east-asia
du-fu	두보	712-770	east-asia
murasaki-shikibu	무라사키 시키부	973-1014	east-asia
matsuo-basho	마쓰오 바쇼	1644-1694	east-asia
dante-alighieri	단테 알리기에리	1265-1321	italy
mario-vargas-llosa	마리오 바르가스 요사	1936-2025	andes
miguel-de-cervantes	미겔 데 세르반테스	1547-1616	iberia
william-shakespeare	윌리엄 셰익스피어	1564-1616	britain-ireland
edgar-allan-poe	에드거 앨런 포	1809-1849	north-america
herman-melville	허먼 멜빌	1819-1891	north-america
mark-twain	마크 트웨인	1835-1910	north-america
john-steinbeck	존 스타인벡	1902-1968	north-america
omar-khayyam	오마르 하이얌	1048-1131	middle-east-north-africa
rumi	루미	1207-1273	anatolia
arthur-conan-doyle	아서 코넌 도일	1859-1930	britain-ireland
agatha-christie	애거사 크리스티	1890-1976	britain-ireland
jrr-tolkien	J. R. R. 톨킨	1892-1973	britain-ireland
roald-dahl	로알드 달	1916-1990	britain-ireland
jean-paul-sartre	장폴 사르트르	1905-1980	western-europe
antoine-de-saint-exupery	앙투안 드 생텍쥐페리	1900-1944	western-europe
hermann-hesse	헤르만 헤세	1877-1962	central-europe
